habitant_id,station,niveau_risque,condamne
H-2399,Arrow,5,0
H-1793,Agro,4,0
H-1826,Go-Sci,4,0
H-1514,Mecha,1,0
H-1103,Alpha,1,0
H-1515,Mecha,1,0
H-1759,Agro,1,0
H-1918,Go-Sci,1,0
H-2314,Arrow,2,0
H-1339,Factory,4,1
H-1099,Alpha,5,0
H-2354,Arrow,1,0
H-1719,Agro,3,0
H-1132,Alpha,2,0
H-1997,Go-Sci,3,0
H-2203,Arrow,4,0
H-1743,Agro,1,0
H-1400,Mecha,5,0
H-2020,Hydra,4,1
H-1322,Factory,4,0
H-1199,Alpha,5,0
H-1512,Mecha,2,1
H-1407,Mecha,5,0
H-2304,Arrow,3,1
H-2108,Hydra,2,0
H-1769,Agro,4,1
H-1365,Factory,5,0
H-2349,Arrow,1,0
H-1017,Alpha,4,0
H-1632,Agro,3,0
H-1190,Alpha,4,0
H-1644,Agro,5,0
H-1098,Alpha,4,0
H-2368,Arrow,2,0
H-1990,Go-Sci,4,1
H-2321,Arrow,4,0
H-2255,Arrow,1,1
H-1551,Mecha,1,0
H-1492,Mecha,1,0
H-1066,Alpha,4,0
H-1413,Mecha,4,0
H-2286,Arrow,1,1
H-1633,Agro,3,0
H-2083,Hydra,4,0
H-2071,Hydra,2,0
H-1133,Alpha,1,0
H-1218,Factory,5,0
H-2290,Arrow,1,0
H-2383,Arrow,4,1
H-1490,Mecha,4,0
H-1057,Alpha,5,0
H-1687,Agro,2,0
H-2139,Hydra,2,0
H-1159,Alpha,4,0
H-1213,Factory,5,0
H-1222,Factory,2,0
H-1552,Mecha,5,0
H-1398,Factory,2,0
H-2296,Arrow,2,0
H-1760,Agro,5,0
H-1111,Alpha,3,0
H-1337,Factory,5,1
H-1779,Agro,1,0
H-1829,Go-Sci,3,0
H-1641,Agro,5,0
H-1977,Go-Sci,1,0
H-1959,Go-Sci,5,0
H-1158,Alpha,4,1
H-2388,Arrow,5,0
H-1803,Go-Sci,5,0
H-1448,Mecha,4,0
H-2344,Arrow,2,0
H-2392,Arrow,1,0
H-1433,Mecha,3,0
H-1256,Factory,5,1
H-2120,Hydra,5,0
H-2068,Hydra,1,0
H-1188,Alpha,3,0
H-2390,Arrow,2,0
H-1321,Factory,5,0
H-2081,Hydra,4,0
H-1465,Mecha,5,0
H-1626,Agro,3,1
H-2027,Hydra,1,0
H-1528,Mecha,4,0
H-1930,Go-Sci,1,0
H-1867,Go-Sci,1,0
H-1811,Go-Sci,4,0
H-1022,Alpha,5,0
H-1328,Factory,2,1
H-2030,Hydra,1,0
H-1355,Factory,1,0
H-1065,Alpha,1,0
H-2135,Hydra,5,0
H-1319,Factory,5,1
H-1227,Factory,2,0
H-2195,Hydra,5,0
H-2260,Arrow,5,0
H-2250,Arrow,4,1
H-1690,Agro,5,0
H-1842,Go-Sci,5,0
H-2351,Arrow,2,1
H-1613,Agro,2,0
H-2080,Hydra,2,0
H-1286,Factory,1,0
H-1962,Go-Sci,1,0
H-1373,Factory,2,0
H-1306,Factory,3,1
H-1852,Go-Sci,1,0
H-1025,Alpha,4,0
H-1157,Alpha,1,0
H-1501,Mecha,4,0
H-1161,Alpha,5,0
H-1289,Factory,3,1
H-1748,Agro,3,0
H-2185,Hydra,5,0
H-1061,Alpha,1,1
H-1323,Factory,3,0
H-1976,Go-Sci,1,1
H-1151,Alpha,3,0
H-2258,Arrow,5,0
H-1110,Alpha,4,0
H-1761,Agro,3,0
H-1869,Go-Sci,4,0
H-1053,Alpha,4,0
H-2272,Arrow,5,0
H-2284,Arrow,2,0
H-1240,Factory,4,0
H-1282,Factory,1,0
H-2391,Arrow,3,1
H-2214,Arrow,3,0
H-1431,Mecha,4,0
H-1496,Mecha,5,1
H-1862,Go-Sci,4,0
H-1295,Factory,3,0
H-1942,Go-Sci,2,0
H-2339,Arrow,3,0
H-2253,Arrow,3,0
H-1739,Agro,4,0
H-1715,Agro,4,0
H-1122,Alpha,1,0
H-2215,Arrow,1,1
H-2342,Arrow,5,1
H-1970,Go-Sci,1,0
H-1742,Agro,5,0
H-1035,Alpha,4,0
H-1416,Mecha,1,0
H-1005,Alpha,3,0
H-1740,Agro,4,0
H-1481,Mecha,3,1
H-1178,Alpha,5,0
H-2333,Arrow,1,0
H-2079,Hydra,5,0
H-1863,Go-Sci,3,0
H-2264,Arrow,1,0
H-2219,Arrow,3,0
H-1471,Mecha,1,0
H-2098,Hydra,4,0
H-2090,Hydra,5,0
H-2008,Hydra,5,0
H-2093,Hydra,1,0
H-2103,Hydra,1,0
H-2018,Hydra,5,0
H-2125,Hydra,5,0
H-1857,Go-Sci,4,0
H-1784,Agro,4,0
H-1503,Mecha,5,0
H-1283,Factory,5,0
H-1682,Agro,1,1
H-1847,Go-Sci,2,0
H-1985,Go-Sci,1,0
H-1868,Go-Sci,1,0
H-2012,Hydra,3,1
H-1653,Agro,4,0
H-1722,Agro,4,0
H-1788,Agro,1,0
H-1372,Factory,2,1
H-1261,Factory,4,1
H-1661,Agro,1,0
H-1185,Alpha,1,0
H-1296,Factory,3,1
H-1570,Mecha,5,0
H-1875,Go-Sci,3,0
H-1231,Factory,1,0
H-1137,Alpha,4,0
H-1979,Go-Sci,1,0
H-1914,Go-Sci,4,0
H-2393,Arrow,5,0
H-1302,Factory,2,0
H-1655,Agro,3,0
H-1300,Factory,1,0
H-1304,Factory,4,1
H-1004,Alpha,1,0
H-2210,Arrow,3,0
H-1543,Mecha,2,0
H-2347,Arrow,5,0
H-2022,Hydra,3,0
H-1555,Mecha,1,1
H-1212,Factory,3,0
H-1713,Agro,4,0
H-2221,Arrow,2,1
H-1617,Agro,1,0
H-1307,Factory,3,0
H-1870,Go-Sci,5,1
H-2301,Arrow,5,0
H-1685,Agro,4,0
H-2086,Hydra,2,0
H-1877,Go-Sci,4,0
H-1364,Factory,4,0
H-1309,Factory,2,1
H-1088,Alpha,5,0
H-1173,Alpha,2,0
H-1738,Agro,4,0
H-1242,Factory,1,1
H-1683,Agro,2,0
H-1156,Alpha,1,0
H-1731,Agro,4,0
H-2293,Arrow,5,0
H-1208,Factory,1,1
H-2261,Arrow,2,0
H-2269,Arrow,4,0
H-1347,Factory,1,1
H-2007,Hydra,2,0
H-1230,Factory,2,1
H-1787,Agro,1,0
H-1462,Mecha,2,0
H-1587,Mecha,2,0
H-1723,Agro,4,0
H-1301,Factory,2,0
H-1789,Agro,5,0
H-1874,Go-Sci,3,0
H-1464,Mecha,5,0
H-1049,Alpha,2,0
H-1459,Mecha,1,0
H-2352,Arrow,5,0
H-1290,Factory,1,0
H-1850,Go-Sci,2,0
H-2047,Hydra,4,0
H-2236,Arrow,1,0
H-1607,Agro,3,0
H-2115,Hydra,2,0
H-1210,Factory,1,0
H-1091,Alpha,2,0
H-2292,Arrow,4,0
H-1252,Factory,5,1
H-2242,Arrow,5,0
H-1547,Mecha,5,0
H-2113,Hydra,1,0
H-1114,Alpha,3,0
H-1499,Mecha,4,0
H-1316,Factory,1,0
H-1980,Go-Sci,5,0
H-1679,Agro,1,0
H-1629,Agro,4,0
H-1334,Factory,3,0
H-1909,Go-Sci,4,0
H-2152,Hydra,1,0
H-1983,Go-Sci,2,0
H-1285,Factory,1,0
H-1414,Mecha,4,0
H-1174,Alpha,1,0
H-1693,Agro,1,0
H-2110,Hydra,5,1
H-2326,Arrow,2,0
H-1019,Alpha,4,0
H-2268,Arrow,2,0
H-2228,Arrow,5,1
H-1292,Factory,2,0
H-1548,Mecha,3,0
H-1171,Alpha,5,0
H-1508,Mecha,4,0
H-1270,Factory,4,1
H-1089,Alpha,3,1
H-1027,Alpha,5,0
H-1225,Factory,3,0
H-1042,Alpha,3,0
H-2395,Arrow,2,0
H-1773,Agro,4,0
H-1204,Factory,3,0
H-2235,Arrow,2,1
H-1024,Alpha,1,0
H-1281,Factory,3,0
H-2078,Hydra,1,0
H-1205,Factory,3,1
H-1824,Go-Sci,4,0
H-1931,Go-Sci,1,0
H-1502,Mecha,4,1
H-1873,Go-Sci,4,0
H-1147,Alpha,4,0
H-1293,Factory,1,1
H-1142,Alpha,2,0
H-1384,Factory,1,0
H-2244,Arrow,2,0
H-1807,Go-Sci,5,0
H-1363,Factory,2,0
H-1333,Factory,2,0
H-1635,Agro,1,0
H-1043,Alpha,4,0
H-1577,Mecha,4,0
H-1369,Factory,2,0
H-2004,Hydra,5,1
H-2166,Hydra,4,0
H-1386,Factory,4,0
H-1360,Factory,1,1
H-1378,Factory,5,0
H-1940,Go-Sci,3,0
H-1371,Factory,3,1
H-2015,Hydra,3,1
H-1191,Alpha,1,0
H-1981,Go-Sci,1,1
H-2362,Arrow,5,0
H-1754,Agro,4,1
H-1888,Go-Sci,2,0
H-1474,Mecha,4,1
H-1913,Go-Sci,5,0
H-1318,Factory,4,0
H-1809,Go-Sci,2,0
H-2289,Arrow,1,0
H-2191,Hydra,3,1
H-1417,Mecha,5,1
H-1550,Mecha,3,1
H-2338,Arrow,3,0
H-2375,Arrow,5,0
H-1905,Go-Sci,5,0
H-1422,Mecha,1,0
H-2128,Hydra,5,0
H-2237,Arrow,1,1
H-2299,Arrow,4,1
H-2282,Arrow,3,0
H-1527,Mecha,5,0
H-1782,Agro,2,0
H-1217,Factory,2,1
H-2194,Hydra,1,1
H-2100,Hydra,5,0
H-1032,Alpha,1,1
H-1524,Mecha,3,0
H-1361,Factory,5,0
H-1572,Mecha,5,1
H-1449,Mecha,4,0
H-1728,Agro,4,0
H-1021,Alpha,5,0
H-2281,Arrow,1,0
H-1117,Alpha,1,0
H-2346,Arrow,2,0
H-1603,Agro,5,0
H-2252,Arrow,3,0
H-1836,Go-Sci,4,0
H-1273,Factory,5,0
H-1540,Mecha,3,1
H-2124,Hydra,1,0
H-1170,Alpha,5,0
H-1664,Agro,1,0
H-1755,Agro,5,0
H-2239,Arrow,2,0
H-2295,Arrow,2,0
H-1711,Agro,1,0
H-2328,Arrow,4,0
H-1002,Alpha,3,0
H-1237,Factory,4,0
H-2094,Hydra,4,0
H-1430,Mecha,1,0
H-1509,Mecha,5,0
H-2315,Arrow,1,1
H-1105,Alpha,2,0
H-1553,Mecha,5,1
H-1272,Factory,5,1
H-1568,Mecha,4,0
H-1303,Factory,5,0
H-2309,Arrow,3,0
H-1080,Alpha,1,0
H-1597,Mecha,2,0
H-1487,Mecha,5,0
H-2092,Hydra,4,0
H-1093,Alpha,2,0
H-1458,Mecha,3,0
H-1350,Factory,5,0
H-1243,Factory,1,0
H-2130,Hydra,4,0
H-1549,Mecha,3,0
H-1606,Agro,4,0
H-1451,Mecha,5,1
H-1621,Agro,2,0
H-1530,Mecha,2,1
H-2075,Hydra,5,0
H-2031,Hydra,2,0
H-1932,Go-Sci,1,0
H-2050,Hydra,1,0
H-1018,Alpha,4,0
H-2212,Arrow,1,0
H-1446,Mecha,1,0
H-2171,Hydra,4,0
H-1327,Factory,2,0
H-1007,Alpha,4,1
H-1376,Factory,1,1
H-1423,Mecha,2,0
H-1556,Mecha,2,0
H-2243,Arrow,1,0
H-1820,Go-Sci,5,0
H-1799,Agro,1,1
H-2151,Hydra,2,0
H-1786,Agro,4,1
H-2043,Hydra,3,0
H-1896,Go-Sci,5,0
H-1338,Factory,4,0
H-1153,Alpha,4,0
